0033_G2A3E1S0C1_KMA_001960|압록강을 건너 회군의 길에 올랐다.|압록강을 건너 회군의 길에 올랐다.
0033_G2A3E1S0C1_KMA_001016|우주에 있는 별이 보이는 거라니, 참 신기해.|우주에 있는 별이 보이는 거라니, 참 신기해.
0033_G2A3E1S0C1_KMA_000313|눈이 부시게 빛나는 아름다운 황금 왕관입니다.|눈이 부시게 빛나는 아름다운 황금 왕관입니다.
0033_G2A3E1S0C1_KMA_000342|독일의 기초를 세운 임금이었습니다.|독일의 기초를 세운 임금이었습니다.
0033_G2A3E1S0C1_KMA_000828|일단 만나니 반가워서 마음이 느슨해졌다.|일단 만나니 반가워서 마음이 느슨해졌다.
0033_G2A3E1S0C1_KMA_000466|유엔에서 드디어 이란의 핵개발 문제를 언급했다.|유엔에서 드디어 이란의 핵개발 문제를 언급했다.
0033_G2A3E1S0C1_KMA_001344|지금 각하께서 너를 찾으신다.|지금 각하께서 너를 찾으신다.
0033_G2A3E1S0C1_KMA_000073|바위는 정말 고마웠습니다.|바위는 정말 고마웠습니다.
0033_G2A3E1S0C1_KMA_000775|만세 사건으로 임시 휴교가 되었어요.|만세 사건으로 임시 휴교가 되었어요.
0033_G2A3E1S0C1_KMA_000935|이쪽으로 오십시오.|이쪽으로 오십시오.
0033_G2A3E1S0C1_KMA_000290|밑져야 본전이라는 생각으로 사람들에게 묻기 시작했습니다.|밑져야 본전이라는 생각으로 사람들에게 묻기 시작했습니다.
0033_G2A3E1S0C1_KMA_001211|사랑스럽군요.|사랑스럽군요.
0033_G2A3E1S0C1_KMA_000351|큰 오아시스는 십만 명의 사람이 살 만큼 넓다.|큰 오아시스는 십만 명의 사람이 살 만큼 넓다.
0033_G2A3E1S0C1_KMA_001912|소비자는 큰 만족을 얻을 수 있었어요.|소비자는 큰 만족을 얻을 수 있었어요.
0033_G2A3E1S0C1_KMA_000368|성장한 그녀는 새 노래를 우리에게 던지었다.|성장한 그녀는 새 노래를 우리에게 던지었다.
0033_G2A3E1S0C1_KMA_001058|지나간 로맨스를 떠올려 달콤한 감정이 스몄다.|지나간 로맨스를 떠올려 달콤한 감정이 스몄다.
0033_G2A3E1S0C1_KMA_000443|엉긴 두부를 틀에 넣고 물을 빼면 완성돼요.|엉긴 두부를 틀에 넣고 물을 빼면 완성돼요.
