0033_G2A3E1S0C1_KMA_001016|우주에 있는 별이 보이는 거라니, 참 신기해.|우주에 있는 별이 보이는 거라니, 참 신기해.
0033_G2A3E1S0C1_KMA_000935|이쪽으로 오십시오.|이쪽으로 오십시오.
0033_G2A3E1S0C1_KMA_000351|큰 오아시스는 십만 명의 사람이 살 만큼 넓다.|큰 오아시스는 십만 명의 사람이 살 만큼 넓다.
0033_G2A3E1S0C1_KMA_001236|용맹스럽게 일어나 싸웠습니다.|용맹스럽게 일어나 싸웠습니다.
0033_G2A3E1S0C1_KMA_001405|악행을 저지른 해적들은 해군에게 벌을 받았습니다.|악행을 저지른 해적들은 해군에게 벌을 받았습니다.
0033_G2A3E1S0C1_KMA_001489|송아지가 음식을 먹도록 자리를 비켜주었습니다.|송아지가 음식을 먹도록 자리를 비켜주었습니다.
0033_G2A3E1S0C1_KMA_000052|못 움직이고 있었는데 그녀가 구조대와 도착했다.|못 움직이고 있었는데 그녀가 구조대와 도착했다.
0033_G2A3E1S0C1_KMA_001415|밥맛 좋은 곳을 경상도 언양이라고 했습니다.|밥맛 좋은 곳을 경상도 언양이라고 했습니다.
0033_G2A3E1S0C1_KMA_001266|독립신문은 활약을 펼칠 수 있게 되었습니다.|독립신문은 활약을 펼칠 수 있게 되었습니다.
0033_G2A3E1S0C1_KMA_001421|거기는 한창 혈기의 자부심도 있지.|거기는 한창 혈기의 자부심도 있지.
0033_G2A3E1S0C1_KMA_001595|깍쟁이처럼 새침을 떠니 귀엽다.|깍쟁이처럼 새침을 떠니 귀엽다.
0033_G2A3E1S0C1_KMA_001697|어서 모이세요 두꺼비와 사슴의 경주가 시작됩니다.|어서 모이세요 두꺼비와 사슴의 경주가 시작됩니다.
0033_G2A3E1S0C1_KMA_000043|가는 길에 내 결혼식에 참여해주세요.|가는 길에 내 결혼식에 참여해주세요.
0033_G2A3E1S0C1_KMA_001384|이 나라는 지중해의 중심 위치에 있습니다.|이 나라는 지중해의 중심 위치에 있습니다.
0033_G2A3E1S0C1_KMA_001396|환호의 소리를 치는 것까지 울음에 섞인 소리였다.|환호의 소리를 치는 것까지 울음에 섞인 소리였다.
0033_G2A3E1S0C1_KMA_001419|잠재력 있는 특기생을 하나 얻을지도 몰라.|잠재력 있는 특기생을 하나 얻을지도 몰라.
0033_G2A3E1S0C1_KMA_001728|하하하하, 이야길 듣게.|하하하하, 이야길 듣게.
0033_G2A3E1S0C1_KMA_001578|뉴욕에서 무척 즐거웠어요.|뉴욕에서 무척 즐거웠어요.
0033_G2A3E1S0C1_KMA_001587|즐겁고 행복한 나팔 소리를 들었습니다.|즐겁고 행복한 나팔 소리를 들었습니다.
0033_G2A3E1S0C1_KMA_000330|후면은 직선으로 꺾인 특유의 테일램프가 눈에 띈다.|후면은 직선으로 꺾인 특유의 테일램프가 눈에 띈다.
0033_G2A3E1S0C1_KMA_001734|대궐 안에서는 축제가 열리고 있었습니다.|대궐 안에서는 축제가 열리고 있었습니다.
0033_G2A3E1S0C1_KMA_001444|비행기 타기 전까지 계속 일을 하던 그였다.|비행기 타기 전까지 계속 일을 하던 그였다.
0033_G2A3E1S0C1_KMA_000203|도둑들은 다른 두 사람에게 쫓기다 잡혔어.|도둑들은 다른 두 사람에게 쫓기다 잡혔어.
0033_G2A3E1S0C1_KMA_001329|시장이 흥분한 목소리로 대답했지.|시장이 흥분한 목소리로 대답했지.
0033_G2A3E1S0C1_KMA_000457|액티비티 최저가 보상제로 기분 좋게 예약했다.|액티비티 최저가 보상제로 기분 좋게 예약했다.
0033_G2A3E1S0C1_KMA_001273|이 세상에 더 잘생긴 얼굴이 또 있을까 싶다.|이 세상에 더 잘생긴 얼굴이 또 있을까 싶다.
0033_G2A3E1S0C1_KMA_001115|숲에서는 산새들이 지저귀고 있었습니다.|숲에서는 산새들이 지저귀고 있었습니다.
